9.3,63.39,4.18
9.6,80.83,4.66
9.9,106.4,5.35
10.2,123.6,5.86
10.5,158.6,6.74
10.8,206.2,7.78
11.1,272.2,9.27
11.4,316.1,10.21
11.7,363.7,11.23
12,413.4,12.47
12.3,458.7,13.87
12.6,520.9,16.06
12.9,580.2,29.26
13.2,622.3,31.04
13.5,633.6,33.47
13.8,621.1,31.79
14.1,590.7,31.01
14.4,534.9,29.36
14.7,473.4,28.72
15,416,27.11
15.3,354.3,25.96
15.6,307.6,24.56
15.9,263.8,22.91
16.2,228.1,22.04
16.5,202.5,21.02
16.8,181.8,19.94
17.1,162.6,19.33
17.4,144.5,18.86
17.7,133,18.48
18,123.1,18.24
18.3,111.5,17.93
18.6,102.5,17.63
18.9,94.98,17.82
19.2,87.62,17.95
19.5,77.8,17.65
19.8,71.66,17.61
20.1,71.41,17.77
20.4,69.26,17.85
20.7,65.28,18.47
21,49.32,10.12
21.3,49.89,10.41
21.6,54.76,10.83
21.9,52.26,10.88
22.2,47.38,10.7
22.5,40.79,10.25
22.8,43.77,15.34
23.1,47.47,15.24
23.4,47.94,15.83
23.7,46.78,17.06
24,45.54,16.98
24.3,45.5,16.03
24.6,45.6,16.36
24.9,43.9,16.96
25.2,33.42,18.62
25.5,32.16,16.67
25.8,33.26,20.44
26.1,27.25,16
26.4,16.64,8.28
26.7,21.39,7.84
27,24.31,8.47
27.3,26.54,8.95
27.6,28.82,10.65
27.9,26.13,9.24
28.2,21.99,9.67
28.5,25.03,9.14
28.8,28.73,11.43
29.1,27.38,9.91
29.4,25.9,10.94
29.7,27.61,10.27
30,28.87,11.74
30.3,27.88,10.97
30.6,26.91,11.56
30.9,22.08,10.04
31.2,20.91,10.59
31.5,20.74,10.58
31.8,18.33,9.93
32.1,18.19,10.08
32.4,18.14,9.19
32.7,18.12,9.86
33,19.46,9.62
33.3,22.44,11.41
33.6,20.41,9.84
33.9,18.19,10.34
34.2,17.25,9.1
34.5,16.78,10.12
34.8,16.12,8.82
35.1,15.5,9.62
35.4,13.89,8.53
35.7,13.43,9.03
36,14.34,9.07
36.3,13.75,9.02
36.6,9.35,7.5
36.9,6.63,6.16
37.2,1.76,5.12
37.5,1.24,3.97
